Category,SKU,Name,English Name,Unit,Qty
,101,,,,0
,102,,,,0
,103,,,,0
,104,,,,452
,105,,,,45151
,106,,,,11632
,107,,,,90
,108,,,,504
,109,,,,220
,110,,,,219
,111,,,,103
,112,,,,0
,113,,,,0
,114,,,,40
,115,,,,24
,116,,,,124
,117,,,,0
,118,,,,1264
,119,,,,0
,120,,,,36
,121,,,,4637
,122,,,,1189
,123,,,,571
,124,,,,493
,125,,,,2652
,126,,,,2082
,127,,,,90
,128,,,,3221
,129,,,,2808
,130,,,,730
,131,,,,581
,132,,,,413
,133,,,,4076
,134,,,,3
,135,,,,14
,136,,,,2
,137,,,,76
,138,,,,20
,139,,,,13
,140,,,,2
,141,,,,0
,142,,,,3676
,143,,,,29
,144,,,,180
,145,,,,243
,146,,,,88
,147,,,,5
,148,,,,478
,149,,,,0
,150,,,,71
,151,,,,0
,152,,,,37
,153,,,,13
,154,,,,119
,155,,,,0
,156,,,,0
,157,,,,0
,158,,,,0
,159,,,,0
,160,,,,90
,161,,,,8
,162,,,,2096
,163,,,,0
,164,,,,36
,165,,,,0
,166,,,,14
,167,,,,18
,168,,,,1
,169,,,,1
,170,,,,3
,171,,,,0
,172,,,,0
,173,,,,4
,174,,,,0
,175,,,,3
,176,,,,0
,177,,,,18
,178,,,,30
,179,,,,0
,180,,,,9
,181,,,,13
,182,,,,0
,183,,,,9
,184,,,,73
,185,,,,0
,186,,,,4
,187,,,,18
,188,,,,8
,189,,,,0
,190,,,,2
,191,,,,0
,192,,,,11
,193,,,,55
,194,,,,11
,195,,,,6
,196,,,,18
,197,,,,1
,198,,,,100
,199,,,,3
,200,,,,1
,201,,,,3
,202,,,,1
,203,,,,0
,204,,,,0
,205,,,,0
,206,,,,0
,207,,,,0
,208,,,,0
,209,,,,0
,210,,,,0
,211,,,,0
,212,,,,123
,213,,,,160
,214,,,,54
,215,,,,57
,216,,,,55
,217,,,,16
,218,,,,18
,219,,,,63
,220,,,,5
,221,,,,0
,222,,,,0
,223,,,,0
,224,,,,0
,225,,,,0
,226,,,,4
,227,,,,259
,228,,,,29
,229,,,,72
,230,,,,50
,231,,,,474
,232,,,,6
,233,,,,0
,234,,,,0
,235,,,,78
,236,,,,1
,237,,,,2
,238,,,,0
,239,,,,24
,240,,,,1
,241,,,,24
,242,,,,1
,243,,,,19
,244,,,,1
,245,,,,0
,246,,,,2
,247,,,,0
,248,,,,0
,249,,,,0
,250,,,,2
,251,,,,2
,252,,,,23
,253,,,,17
,254,,,,0
,255,,,,14
,256,,,,33
,257,,,,9
,258,,,,24
,259,,,,24
,260,,,,0
,261,,,,0
,262,,,,10
,263,,,,1
,264,,,,52
,265,,,,24
,266,,,,2
,267,,,,1
,268,,,,3
,269,,,,5
,270,,,,2
,271,,,,2
,272,,,,4
,273,,,,0
,274,,,,0
,275,,,,12
,276,,,,2
,277,,,,1
,278,,,,2
,279,,,,6
,280,,,,1
,281,,,,3
,282,,,,5
,283,,,,2
,284,,,,6
,285,,,,6
,286,,,,3
,287,,,,2
,288,,,,3
,289,,,,2
,290,,,,0
,291,,,,0
,292,,,,0
,293,,,,3
,294,,,,15
,295,,,,85
,296,,,,2627
,297,,,,0
,298,,,,0
,299,,,,0
,300,,,,0
,301,,,,267
,302,,,,5438
,303,,,,25
,304,,,,1
,305,,,,0
,306,,,,1
,307,,,,0
,308,,,,13
,309,,,,0
,310,,,,18
,311,,,,2
,312,,,,0
,313,,,,3
,314,,,,6
,315,,,,4
,316,,,,0
,317,,,,21
,318,,,,37
,319,,,,3
,320,,,,1273
,321,,,,308
,322,,,,16
,323,,,,0
,324,,,,0
,325,,,,753
,326,,,,8
,327,,,,12
,328,,,,660
,329,,,,0
,330,,,,146
,331,,,,0
,332,,,,10
,333,,,,0
,334,,,,0
,335,,,,0
,336,,,,0
,337,,,,0
,338,,,,0
,339,,,,900
,340,,,,485
,341,,,,14
,342,,,,0
,343,,,,0
,344,,,,0
,345,,,,5
,346,,,,2
,347,,,,8
,348,,,,0
,349,,,,0
,350,,,,1
,351,,,,0
,352,,,,0
,353,,,,0
,354,,,,0
,355,,,,24
,356,,,,39
,357,,,,1
,358,,,,0
,359,,,,5
,360,,,,0
,361,,,,47
,362,,,,48
,363,,,,64
,364,,,,36
,365,,,,0
,366,,,,0
,367,,,,679
,368,,,,1
,369,,,,0
,370,,,,0
,371,,,,0
,372,,,,3
,373,,,,2
,374,,,,19
,375,,,,8
,376,,,,28
,377,,,,7
,378,,,,0
,379,,,,4
,380,,,,3
,381,,,,2
,382,,,,7
,383,,,,0
,384,,,,40
,385,,,,8
,386,,,,0
,387,,,,8
,388,,,,15
,389,,,,16
,390,,,,12
,391,,,,0
,392,,,,8
,393,,,,11
,394,,,,6
,395,,,,4
,396,,,,5
,397,,,,0
,398,,,,6
,399,,,,10
,400,,,,0
,401,,,,8
,402,,,,14
,403,,,,15
,404,,,,2
,405,,,,0
,406,,,,0
,407,,,,9
,408,,,,0
,409,,,,0
,410,,,,34
,411,,,,8
,412,,,,15
,413,,,,0
,414,,,,9
,415,,,,0
,416,,,,0
,417,,,,0
,418,,,,0
,419,,,,0
,420,,,,0
,421,,,,783
,422,,,,65
,423,,,,88
,424,,,,1
,425,,,,20
,426,,,,18
,427,,,,8
,428,,,,15
,429,,,,20
,430,,,,1
,431,,,,9
,432,,,,10
,433,,,,216
,434,,,,0
