Category,SKU,Name,English Name,Unit,Qty
,10 / 7,مسمار / سن حديد أسود,,,679
,11 / 4,TSH202V3,,,7
,11 / 7,مسمار / 12ملي عادي,,,1582
,1-10001,TAT100 Asset tracker,,,0
,12 / 2,FMS INTERFACE 9164-10 / CANGO,,,0
,12 / 7,واير / حديد 2ملي,,,1
,13 / 7,ورده / مفتوحه 12 ملي,,,500
,14 / 7,ريشة دريل / 14ملي,,,1
,14-10001,قاريء RFID للحاويات - CF692-EU UHF integrated reader built in 9dbi antenna,,,0
,14-10002,شرائح RFID للحاويات - G9811-135*22*5mm UHF RFID ABS anti-metal tags,,,0
,14-10003,عينات / Teltonika / MSP500CQJX01 / تتبع - محدد سرعه,,,0
,14-10004,عينات / Teltonika / PEX00000560 / ملحق لمحدد السرعه,,,0
,15 / 7,لي / هواء 10 ملي,,,1
,16 / 7,ريشة دريل / 16ملي,,,1
,17 / 7,ريشة دريل / 12ملي,,,0
,18 / 7,علب كهرباء / 25 * 30,,,2
,19 / 7,لي / هواء 8 ملي,,,7
,20 / 7,ريشة دريل / 13ملي,,,3
,200,ريشة دريل / 8ملي,,,0
,21 / 7,جرجور,,,1
,22 / 7,لي / هواء 12 ملي,,,6
,23 / 7,زاويه / حديد,,,1055
,24 / 7,ريشة دريل / 10ملي,,,7
,25 / 7,ريشة دريل / 5.5ملي,,,0
,26 / 7,ريشة دريل / 9ملي,,,1
,27 / 7,فيش دكر و نتايه / بين الرأس و التيدر,,,32
,28 / 7,سلك / واحد خط - 1 ملي,,,0
,29 / 7,فيوز / امبير 5 ملي,,,17
,3 / 7,صامولة / 12ملي عادي,,,5356
,30 / 7,توصيلة كهرباء / بين الرأس و التيدر,,,25
,31 / 7,عازل / كهربائي,,,25
,3-10001,  ALL-CAN300-adapter,,,0
,3-10002,LV-CAN200_12-adapter,,,0
,3-10003, FMB140BTXW01 - Teltonika - tracking device,,,0
,3-10004,  FMB140YNU801 - Teltonika - tracking device,,,0
,3-10005,  CAN-CONTROL2 - Teltonika - adapter ,,,0
,3-10006,  FMB003OE3E01 - Teltonika - tracking device,,,0
,32 / 7,بطارية / حساس حراره,,,58
,33 / 7,ورده / جلد 16 ملي,,,575
,34 / 7,وصلة هوا مشترك / 12*10*12,,,50
,35 / 7,وصلة هوا مشترك / 12*12*12,,,50
,36 / 7,نقاص / 16ملي - 1/4 بوصه,,,510
,37 / 7,وصلة هوا مستقيم / 10*8,,,82
,38 / 7,ورده / 12ملي,,,2580
,39 / 7,وصلة هوا سن حديد / 8 ملي / 1/4 بوصه,,,520
,4 / 7,صامولة / 12ملي اسود,,,0
,40 / 7,وصلة هوا مشترك / 8*8*8,,,528
,41 / 7,سلك / جمارك,,,11
,42 / 7,وصلة هوا مستقيم / 12*8,,,90
,43 / 7,حرف Z / حديد,,,2150
,44 / 7,نقاص / 22 ملي * 16 ملي,,,510
,45 / 7,مرابط / بلاستيك 300 * 4.8,,,116
,46 / 7,لاصق / شيطرطون أسود,,,504
,47 / 7,موزع كهرباء,,,0
,48 / 7,علاقه / حديد,,,0
,49 / 7,مسمار / اسود ممسوح من النصف 12ملي,,,0
,5 / 7,علب كهرباء / 10 * 10,,,1
,50 / 7,قفيز / 16ملي,,,1828
,51 / 7,وصلة هوا مشترك / 10*8*10,,,487
,52 / 7,مفتول / حديد,,,826
,53 / 7,ورده / 12ملي عريض,,,0
,54 / 7,ورده / جلد 1/4 بوصه,,,780
,55 / 7,اعواد / المونيوم,,,2290
,56 / 7,مسطرة / حديد,,,6790
,57 / 7,مسمار /  مقاس 2سم - 10ملي,,,4000
,58 / 7,ورده / 10ملي,,,4000
,59 / 7,مسمار / جبس أسود,,,0
,6 / 7,فيش صناعي,,,0
,60 / 7,سوست / لتركيب حساسات الوزن,,,5812
,61 / 7,سلك / فيش حساس,,,10258
,62 / 7,ورده / مفتوحه 10 ملي,,,600
,63 / 7,مسمار /  مقاس 1.5سم - 10ملي,,,11640
,64 / 7,حرف S / علاقة سوسته,,,0
,65 / 7,جلدة / رأس,,,11311
,66 / 7,جلدة / قاعدة,,,11260
,67 / 7,صامولة / 10ملي عادي,,,8290
,68 / 7,سلك فيش - محلي,,,125
,7 / 7,قفل حديد 2ملي,,,0
,70 / 7,وصلة هوا مشترك / 12*8*12,,,249
,71 / 7,مثبت / حديد,,,250
,72 / 7,قفيز / 2ملي,,,0
,77 / 7,وصلة هوا مشترك / 9*8*9,,,0
,9 / 7,مجرى ابيض / PVC TRUKING 16*16,,,24
,AT4,AT4 GPS asset tracking device,,,30
,Battery,TZ-Tag06B Battery,,,0
,BT 04,حساس حراره / BT 04 / للسيارات,,,10
,BT 04 PA,حساس حراره /  / BT 04 (PA) / للسيارات,,,2
,DEMO,توريد أجهزة تتبع DEMO . FMB120,,,0
,Door sensors,Door sensors,,,1020
,FMB120,Teltonika FMB120 tracking device,,,2721
,FMB125,Teltonika FMB125 tracking device,,,268
,FMB630,FMB630,,,0
,FMB640,Teltonika FMB640 tracking device,,,407
,FMM1122,FMM1122,,,0
,FMM130,توريد أجهزة تتبع المركبات اوربية .FMM130,,,20
,German A,حساس / الماني / وزن / هواء,,,2196
,GH5200,Autonomous personal tracker GH5200,,,0
,GT06N,GT06N Tracking device,,,0
,JC100 EdgeCam,JC100 EdgeCam,,,0
,JC400,4G Dash Camera JC400,,,8
,JC400D,4G Dash Camera JC400D,,,10
,JC400P,4G Dash Camera JC400P,,,37
,LIBRA A,حساس / LIBRA / وزن / هواء,,,0
,LIBRA M,حساس / LIBRA / وزن / ميكانيك,,,5104
,LIBRA Master,حساس / LIBRA / وزن / Master,,,0
,LIBRA Slave,حساس / LIBRA / وزن / Slave,,,0
,Master - Red,ليبرا / تجربة قديم / Master - Red,,,0
,MECHATRONICS,حساس / MECHATRONICS / وزن / ميكانيك,,,11347
,NWC,فلتر كربوني,,,0
,NWC1,طقم إشاره,,,0
,NWC2,مصلقات خلفيه  3M و جانبيه,,,0
,NWC3,انبوبه 1.5 بوصه,,,0
,OPD,توريد أجهزة تتبع المركبات اوربية OPD 5 . DEMO,,,0
,OPD 5,OBD 5 plug-In tracking device,,,211
,OPD 620,OPD 620,,,3
,Q2,Q2,,,40
,RD06,TZ-RD06 (GPRS/Modbus),,,116
,RD06-1,TZ-RD06 (WiFi/LAN),,,12
,RD07,LoRa Gateway (GPRS/Modbus),,,48
,RD07-1,LoRa Gateway (WiFi/LAN),,,2
,RFID KEY,ibutton key,,,90
,RFID Socket,wire socket ibutton reader,,,114
,Router,LTE Router,,,0
,SENSOR,DEMO توريد حساس الوزن .GNOM DP,,,0
,SISTEER,CAMERA P/N SO-8271-11 & BLACK BODY P/N SO-8271-11-1 (including 1 wall bracket & 1 ceiling bracket)  الاستقبال,,,0
,Slave - Red,ليبرا / تجربة قديم / Slave - Red,,,0
,Slave - yellow,ليبرا / تجربة قديم / Slave - yellow,,,0
,TAG 06,TZ-Tag06,,,20
,TAG 06 B,TZ-Tag06B,,,859
,TAG 07 B,LoRa Temp & RH Sensor,,,408
,TAG 08,حساس حراره /  / TAG 08 / مستودع,,,1
,TBU 03,TZ-TempU03,,,67
,TELTONIKA FMC 130,توريد أجهزة تتبع المركبات اوربية  FMC 130,,,2697
,TTG102,TTG102 / BOX سلكي,,,0
,Vehicle Branding,Vehicle Branding 3500 m2 with oraget & lacquer Coating,,,0
,اجور وصل,اجور وصل,,,0
,حساس وزن,حساس وزن - عام,,,0
,حساس وقود,حساس وقود,,,5
,فاصل - Relay,فاصل - Relay,,,209
,يورو ستار,حساس / يورو ستار / وزن / ميكانيك - تجربه,,,0
